Running on device: cuda
Model not loaded: instantiating new model
Replay buffer not loaded
Episode: 1 || Reward: 68.96 || Warmup Episode: No Update Statistics || Total Steps: 166 || Song: twinkle_twinkle_little_star
Episode: 2 || Reward: 47.63 || Warmup Episode: No Update Statistics || Total Steps: 332 || Song: twinkle_twinkle_little_star
Episode: 3 || Reward: 58.14 || Warmup Episode: No Update Statistics || Total Steps: 498 || Song: twinkle_twinkle_little_star
Episode: 4 || Reward: 50.89 || Warmup Episode: No Update Statistics || Total Steps: 664 || Song: twinkle_twinkle_little_star
Episode: 5 || Reward: 69.59 || Warmup Episode: No Update Statistics || Total Steps: 830 || Song: twinkle_twinkle_little_star
Episode: 6 || Reward: 42.51 || Warmup Episode: No Update Statistics || Total Steps: 996 || Song: twinkle_twinkle_little_star
Episode: 7 || Reward: 52.1 || Warmup Episode: No Update Statistics || Total Steps: 1162 || Song: twinkle_twinkle_little_star
Episode: 8 || Reward: 58.49 || Warmup Episode: No Update Statistics || Total Steps: 1328 || Song: twinkle_twinkle_little_star
Episode: 9 || Reward: 56.06 || Warmup Episode: No Update Statistics || Total Steps: 1494 || Song: twinkle_twinkle_little_star
Episode: 10 || Reward: 49.68 || Warmup Episode: No Update Statistics || Total Steps: 1660 || Song: twinkle_twinkle_little_star
Episode: 11 || Reward: 61.56 || Warmup Episode: No Update Statistics || Total Steps: 1826 || Song: twinkle_twinkle_little_star
Episode: 12 || Reward: 66.42 || Warmup Episode: No Update Statistics || Total Steps: 1992 || Song: twinkle_twinkle_little_star
Episode: 13 || Reward: 58.06 || Warmup Episode: No Update Statistics || Total Steps: 2158 || Song: twinkle_twinkle_little_star
Episode: 14 || Reward: 44.57 || Warmup Episode: No Update Statistics || Total Steps: 2324 || Song: twinkle_twinkle_little_star
Episode: 15 || Reward: 50.76 || Warmup Episode: No Update Statistics || Total Steps: 2490 || Song: twinkle_twinkle_little_star
Episode: 16 || Reward: 67.28 || Warmup Episode: No Update Statistics || Total Steps: 2656 || Song: twinkle_twinkle_little_star
Episode: 17 || Reward: 51.23 || Warmup Episode: No Update Statistics || Total Steps: 2822 || Song: twinkle_twinkle_little_star
Episode: 18 || Reward: 56.48 || Warmup Episode: No Update Statistics || Total Steps: 2988 || Song: twinkle_twinkle_little_star
Episode: 19 || Reward: 49.44 || Warmup Episode: No Update Statistics || Total Steps: 3154 || Song: twinkle_twinkle_little_star
Episode: 20 || Reward: 52.88 || Warmup Episode: No Update Statistics || Total Steps: 3320 || Song: twinkle_twinkle_little_star
Episode: 21 || Reward: 49.71 || Warmup Episode: No Update Statistics || Total Steps: 3486 || Song: twinkle_twinkle_little_star
Episode: 22 || Reward: 65.08 || Warmup Episode: No Update Statistics || Total Steps: 3652 || Song: twinkle_twinkle_little_star
Episode: 23 || Reward: 60.52 || Warmup Episode: No Update Statistics || Total Steps: 3818 || Song: twinkle_twinkle_little_star
Episode: 24 || Reward: 58.6 || Warmup Episode: No Update Statistics || Total Steps: 3984 || Song: twinkle_twinkle_little_star
Episode: 25 || Reward: 60.92 || Warmup Episode: No Update Statistics || Total Steps: 4150 || Song: twinkle_twinkle_little_star
Episode: 26 || Reward: 61.16 || Warmup Episode: No Update Statistics || Total Steps: 4316 || Song: twinkle_twinkle_little_star
Episode: 27 || Reward: 65.42 || Warmup Episode: No Update Statistics || Total Steps: 4482 || Song: twinkle_twinkle_little_star
Episode: 28 || Reward: 70.03 || Warmup Episode: No Update Statistics || Total Steps: 4648 || Song: twinkle_twinkle_little_star
Episode: 29 || Reward: 69.7 || Warmup Episode: No Update Statistics || Total Steps: 4814 || Song: twinkle_twinkle_little_star
Episode: 30 || Reward: 76.59 || Warmup Episode: No Update Statistics || Total Steps: 4980 || Song: twinkle_twinkle_little_star
Episode: 31 || Reward: 68.71 || Warmup Episode: No Update Statistics || Total Steps: 5146 || Song: twinkle_twinkle_little_star
Episode: 32 || Reward: 60.51 || Actor Loss: -56.54 || Critic Loss: 275.29 || Log Prob: -32.8 || Alpha: 0.93 || Time/Update: 6.22ms || Total Steps: 5312 || Song: twinkle_twinkle_little_star
Episode: 33 || Reward: 66.65 || Actor Loss: -64.87 || Critic Loss: 158.81 || Log Prob: -32.8 || Alpha: 0.89 || Time/Update: 6.36ms || Total Steps: 5478 || Song: twinkle_twinkle_little_star
Episode: 34 || Reward: 81.73 || Actor Loss: -72.94 || Critic Loss: 91.27 || Log Prob: -32.8 || Alpha: 0.85 || Time/Update: 6.11ms || Total Steps: 5644 || Song: twinkle_twinkle_little_star
Episode: 35 || Reward: 77.95 || Actor Loss: -80.66 || Critic Loss: 53.52 || Log Prob: -32.81 || Alpha: 0.81 || Time/Update: 5.92ms || Total Steps: 5810 || Song: twinkle_twinkle_little_star
Episode: 36 || Reward: 62.64 || Actor Loss: -87.9 || Critic Loss: 31.68 || Log Prob: -32.8 || Alpha: 0.78 || Time/Update: 6.15ms || Total Steps: 5976 || Song: twinkle_twinkle_little_star
Episode: 37 || Reward: 42.47 || Actor Loss: -94.55 || Critic Loss: 18.89 || Log Prob: -32.8 || Alpha: 0.74 || Time/Update: 6.15ms || Total Steps: 6142 || Song: twinkle_twinkle_little_star
Episode: 38 || Reward: 64.34 || Actor Loss: -100.5 || Critic Loss: 11.43 || Log Prob: -32.8 || Alpha: 0.71 || Time/Update: 5.76ms || Total Steps: 6308 || Song: twinkle_twinkle_little_star
Episode: 39 || Reward: 68.25 || Actor Loss: -105.7 || Critic Loss: 7.31 || Log Prob: -32.8 || Alpha: 0.68 || Time/Update: 6.5ms || Total Steps: 6474 || Song: twinkle_twinkle_little_star
Episode: 40 || Reward: 67.89 || Actor Loss: -110.13 || Critic Loss: 4.95 || Log Prob: -32.81 || Alpha: 0.65 || Time/Update: 6.33ms || Total Steps: 6640 || Song: twinkle_twinkle_little_star
Episode: 41 || Reward: 61.42 || Actor Loss: -113.82 || Critic Loss: 3.75 || Log Prob: -32.81 || Alpha: 0.63 || Time/Update: 5.7ms || Total Steps: 6806 || Song: twinkle_twinkle_little_star
Episode: 42 || Reward: 75.49 || Actor Loss: -116.77 || Critic Loss: 3.13 || Log Prob: -32.8 || Alpha: 0.6 || Time/Update: 6.62ms || Total Steps: 6972 || Song: twinkle_twinkle_little_star
Episode: 43 || Reward: 79.25 || Actor Loss: -119.06 || Critic Loss: 2.83 || Log Prob: -32.81 || Alpha: 0.58 || Time/Update: 6.03ms || Total Steps: 7138 || Song: twinkle_twinkle_little_star
Episode: 44 || Reward: 68.28 || Actor Loss: -120.7 || Critic Loss: 2.71 || Log Prob: -32.81 || Alpha: 0.55 || Time/Update: 6.55ms || Total Steps: 7304 || Song: twinkle_twinkle_little_star
Episode: 45 || Reward: 70.98 || Actor Loss: -121.77 || Critic Loss: 2.69 || Log Prob: -32.81 || Alpha: 0.53 || Time/Update: 6.49ms || Total Steps: 7470 || Song: twinkle_twinkle_little_star
Episode: 46 || Reward: 66.9 || Actor Loss: -122.31 || Critic Loss: 2.7 || Log Prob: -32.81 || Alpha: 0.51 || Time/Update: 6.51ms || Total Steps: 7636 || Song: twinkle_twinkle_little_star
Episode: 47 || Reward: 56.09 || Actor Loss: -122.37 || Critic Loss: 2.67 || Log Prob: -32.81 || Alpha: 0.49 || Time/Update: 6.39ms || Total Steps: 7802 || Song: twinkle_twinkle_little_star
Episode: 48 || Reward: 97.58 || Actor Loss: -122.04 || Critic Loss: 2.7 || Log Prob: -32.8 || Alpha: 0.47 || Time/Update: 6.71ms || Total Steps: 7968 || Song: twinkle_twinkle_little_star
Episode: 49 || Reward: 70.71 || Actor Loss: -121.31 || Critic Loss: 2.68 || Log Prob: -32.81 || Alpha: 0.45 || Time/Update: 6.56ms || Total Steps: 8134 || Song: twinkle_twinkle_little_star
Episode: 50 || Reward: 71.82 || Actor Loss: -120.27 || Critic Loss: 2.63 || Log Prob: -32.81 || Alpha: 0.44 || Time/Update: 6.41ms || Total Steps: 8300 || Song: twinkle_twinkle_little_star
Episode: 51 || Reward: 69.25 || Actor Loss: -118.97 || Critic Loss: 2.57 || Log Prob: -32.81 || Alpha: 0.42 || Time/Update: 6.59ms || Total Steps: 8466 || Song: twinkle_twinkle_little_star
Episode: 52 || Reward: 73.42 || Actor Loss: -117.44 || Critic Loss: 2.55 || Log Prob: -32.81 || Alpha: 0.4 || Time/Update: 6.1ms || Total Steps: 8632 || Song: twinkle_twinkle_little_star
Episode: 53 || Reward: 67.22 || Actor Loss: -115.71 || Critic Loss: 2.5 || Log Prob: -32.82 || Alpha: 0.39 || Time/Update: 6.81ms || Total Steps: 8798 || Song: twinkle_twinkle_little_star
Episode: 54 || Reward: 71.96 || Actor Loss: -113.82 || Critic Loss: 2.48 || Log Prob: -32.8 || Alpha: 0.37 || Time/Update: 7.84ms || Total Steps: 8964 || Song: twinkle_twinkle_little_star
Episode: 55 || Reward: 74.06 || Actor Loss: -111.8 || Critic Loss: 2.41 || Log Prob: -32.8 || Alpha: 0.36 || Time/Update: 6.78ms || Total Steps: 9130 || Song: twinkle_twinkle_little_star
Episode: 56 || Reward: 72.43 || Actor Loss: -109.63 || Critic Loss: 2.35 || Log Prob: -32.79 || Alpha: 0.35 || Time/Update: 7.35ms || Total Steps: 9296 || Song: twinkle_twinkle_little_star
Episode: 57 || Reward: 86.35 || Actor Loss: -107.38 || Critic Loss: 2.29 || Log Prob: -32.78 || Alpha: 0.33 || Time/Update: 6.69ms || Total Steps: 9462 || Song: twinkle_twinkle_little_star
Episode: 58 || Reward: 80.1 || Actor Loss: -105.01 || Critic Loss: 2.21 || Log Prob: -32.76 || Alpha: 0.32 || Time/Update: 7.19ms || Total Steps: 9628 || Song: twinkle_twinkle_little_star
Episode: 59 || Reward: 81.31 || Actor Loss: -102.57 || Critic Loss: 2.15 || Log Prob: -32.74 || Alpha: 0.31 || Time/Update: 7.14ms || Total Steps: 9794 || Song: twinkle_twinkle_little_star
Episode: 60 || Reward: 85.01 || Actor Loss: -100.12 || Critic Loss: 2.06 || Log Prob: -32.73 || Alpha: 0.3 || Time/Update: 7.07ms || Total Steps: 9960 || Song: twinkle_twinkle_little_star
