Running on device: cuda
Model not loaded: instantiating new model
Replay buffer not loaded
Episode: 1 || Reward: 103.72 || Warmup Episode: No Update Statistics || Total Steps: 155 || Song: twinkle_twinkle_little_star
Episode: 2 || Reward: 98.67 || Warmup Episode: No Update Statistics || Total Steps: 310 || Song: twinkle_twinkle_little_star
Episode: 3 || Reward: 97.97 || Warmup Episode: No Update Statistics || Total Steps: 465 || Song: twinkle_twinkle_little_star
Episode: 4 || Reward: 110.19 || Warmup Episode: No Update Statistics || Total Steps: 620 || Song: twinkle_twinkle_little_star
Episode: 5 || Reward: 115.03 || Warmup Episode: No Update Statistics || Total Steps: 775 || Song: twinkle_twinkle_little_star
Episode: 6 || Reward: 103.57 || Warmup Episode: No Update Statistics || Total Steps: 930 || Song: twinkle_twinkle_little_star
Episode: 7 || Reward: 98.84 || Warmup Episode: No Update Statistics || Total Steps: 1085 || Song: twinkle_twinkle_little_star
Episode: 8 || Reward: 105.26 || Warmup Episode: No Update Statistics || Total Steps: 1240 || Song: twinkle_twinkle_little_star
Episode: 9 || Reward: 102.96 || Warmup Episode: No Update Statistics || Total Steps: 1395 || Song: twinkle_twinkle_little_star
Episode: 10 || Reward: 105.23 || Warmup Episode: No Update Statistics || Total Steps: 1550 || Song: twinkle_twinkle_little_star
Episode: 11 || Reward: 102.94 || Warmup Episode: No Update Statistics || Total Steps: 1705 || Song: twinkle_twinkle_little_star
Episode: 12 || Reward: 106.22 || Warmup Episode: No Update Statistics || Total Steps: 1860 || Song: twinkle_twinkle_little_star
Episode: 13 || Reward: 94.77 || Warmup Episode: No Update Statistics || Total Steps: 2015 || Song: twinkle_twinkle_little_star
Episode: 14 || Reward: 102.86 || Warmup Episode: No Update Statistics || Total Steps: 2170 || Song: twinkle_twinkle_little_star
Episode: 15 || Reward: 95.32 || Warmup Episode: No Update Statistics || Total Steps: 2325 || Song: twinkle_twinkle_little_star
Episode: 16 || Reward: 96.84 || Warmup Episode: No Update Statistics || Total Steps: 2480 || Song: twinkle_twinkle_little_star
Episode: 17 || Reward: 105.01 || Warmup Episode: No Update Statistics || Total Steps: 2635 || Song: twinkle_twinkle_little_star
Episode: 18 || Reward: 99.35 || Warmup Episode: No Update Statistics || Total Steps: 2790 || Song: twinkle_twinkle_little_star
Episode: 19 || Reward: 117.41 || Warmup Episode: No Update Statistics || Total Steps: 2945 || Song: twinkle_twinkle_little_star
Episode: 20 || Reward: 95.6 || Warmup Episode: No Update Statistics || Total Steps: 3100 || Song: twinkle_twinkle_little_star
Episode: 21 || Reward: 111.82 || Warmup Episode: No Update Statistics || Total Steps: 3255 || Song: twinkle_twinkle_little_star
Episode: 22 || Reward: 112.91 || Warmup Episode: No Update Statistics || Total Steps: 3410 || Song: twinkle_twinkle_little_star
Episode: 23 || Reward: 111.25 || Warmup Episode: No Update Statistics || Total Steps: 3565 || Song: twinkle_twinkle_little_star
Episode: 24 || Reward: 118.16 || Warmup Episode: No Update Statistics || Total Steps: 3720 || Song: twinkle_twinkle_little_star
Episode: 25 || Reward: 80.59 || Warmup Episode: No Update Statistics || Total Steps: 3875 || Song: twinkle_twinkle_little_star
Episode: 26 || Reward: 112.65 || Warmup Episode: No Update Statistics || Total Steps: 4030 || Song: twinkle_twinkle_little_star
Episode: 27 || Reward: 109.71 || Warmup Episode: No Update Statistics || Total Steps: 4185 || Song: twinkle_twinkle_little_star
Episode: 28 || Reward: 109.81 || Warmup Episode: No Update Statistics || Total Steps: 4340 || Song: twinkle_twinkle_little_star
Episode: 29 || Reward: 87.27 || Warmup Episode: No Update Statistics || Total Steps: 4495 || Song: twinkle_twinkle_little_star
Episode: 30 || Reward: 116.34 || Warmup Episode: No Update Statistics || Total Steps: 4650 || Song: twinkle_twinkle_little_star
Episode: 31 || Reward: 119.91 || Warmup Episode: No Update Statistics || Total Steps: 4805 || Song: twinkle_twinkle_little_star
Episode: 32 || Reward: 116.3 || Warmup Episode: No Update Statistics || Total Steps: 4960 || Song: twinkle_twinkle_little_star
Episode: 33 || Reward: 112.7 || Warmup Episode: No Update Statistics || Total Steps: 5115 || Song: twinkle_twinkle_little_star
Episode: 34 || Reward: 102.44 || Actor Loss: -54.73 || Critic Loss: 315.25 || Log Prob: -32.79 || Alpha: 0.94 || Time/Update: 4.72ms || Total Steps: 5270 || Song: twinkle_twinkle_little_star
Episode: 35 || Reward: 96.15 || Actor Loss: -62.44 || Critic Loss: 197.18 || Log Prob: -32.8 || Alpha: 0.9 || Time/Update: 4.54ms || Total Steps: 5425 || Song: twinkle_twinkle_little_star
Episode: 36 || Reward: 138.44 || Actor Loss: -69.99 || Critic Loss: 118.97 || Log Prob: -32.8 || Alpha: 0.86 || Time/Update: 4.38ms || Total Steps: 5580 || Song: twinkle_twinkle_little_star
Episode: 37 || Reward: 112.51 || Actor Loss: -77.31 || Critic Loss: 73.21 || Log Prob: -32.8 || Alpha: 0.83 || Time/Update: 4.71ms || Total Steps: 5735 || Song: twinkle_twinkle_little_star
Episode: 38 || Reward: 117.06 || Actor Loss: -84.31 || Critic Loss: 45.18 || Log Prob: -32.8 || Alpha: 0.79 || Time/Update: 4.51ms || Total Steps: 5890 || Song: twinkle_twinkle_little_star
Episode: 39 || Reward: 112.81 || Actor Loss: -90.88 || Critic Loss: 27.98 || Log Prob: -32.8 || Alpha: 0.76 || Time/Update: 4.77ms || Total Steps: 6045 || Song: twinkle_twinkle_little_star
Episode: 40 || Reward: 108.68 || Actor Loss: -96.91 || Critic Loss: 17.46 || Log Prob: -32.8 || Alpha: 0.73 || Time/Update: 4.48ms || Total Steps: 6200 || Song: twinkle_twinkle_little_star
Episode: 41 || Reward: 114.37 || Actor Loss: -102.33 || Critic Loss: 11.06 || Log Prob: -32.8 || Alpha: 0.7 || Time/Update: 4.54ms || Total Steps: 6355 || Song: twinkle_twinkle_little_star
Episode: 42 || Reward: 124.59 || Actor Loss: -107.11 || Critic Loss: 7.36 || Log Prob: -32.8 || Alpha: 0.67 || Time/Update: 4.31ms || Total Steps: 6510 || Song: twinkle_twinkle_little_star
Episode: 43 || Reward: 111.4 || Actor Loss: -111.23 || Critic Loss: 5.19 || Log Prob: -32.81 || Alpha: 0.65 || Time/Update: 5.93ms || Total Steps: 6665 || Song: twinkle_twinkle_little_star
Episode: 44 || Reward: 98.5 || Actor Loss: -114.71 || Critic Loss: 4.01 || Log Prob: -32.81 || Alpha: 0.62 || Time/Update: 5.46ms || Total Steps: 6820 || Song: twinkle_twinkle_little_star
Episode: 45 || Reward: 123.58 || Actor Loss: -117.55 || Critic Loss: 3.37 || Log Prob: -32.81 || Alpha: 0.6 || Time/Update: 5.04ms || Total Steps: 6975 || Song: twinkle_twinkle_little_star
Episode: 46 || Reward: 119.47 || Actor Loss: -119.81 || Critic Loss: 3.03 || Log Prob: -32.81 || Alpha: 0.58 || Time/Update: 5.07ms || Total Steps: 7130 || Song: twinkle_twinkle_little_star
Episode: 47 || Reward: 121.2 || Actor Loss: -121.51 || Critic Loss: 2.88 || Log Prob: -32.81 || Alpha: 0.56 || Time/Update: 7.74ms || Total Steps: 7285 || Song: twinkle_twinkle_little_star
Episode: 48 || Reward: 121.26 || Actor Loss: -122.69 || Critic Loss: 2.87 || Log Prob: -32.81 || Alpha: 0.53 || Time/Update: 6.47ms || Total Steps: 7440 || Song: twinkle_twinkle_little_star
Episode: 49 || Reward: 117.12 || Actor Loss: -123.41 || Critic Loss: 2.85 || Log Prob: -32.81 || Alpha: 0.51 || Time/Update: 6.98ms || Total Steps: 7595 || Song: twinkle_twinkle_little_star
Episode: 50 || Reward: 109.73 || Actor Loss: -123.7 || Critic Loss: 2.86 || Log Prob: -32.81 || Alpha: 0.5 || Time/Update: 8.14ms || Total Steps: 7750 || Song: twinkle_twinkle_little_star
Episode: 51 || Reward: 106.37 || Actor Loss: -123.6 || Critic Loss: 2.88 || Log Prob: -32.81 || Alpha: 0.48 || Time/Update: 9.17ms || Total Steps: 7905 || Song: twinkle_twinkle_little_star
Episode: 52 || Reward: 108.9 || Actor Loss: -123.17 || Critic Loss: 2.86 || Log Prob: -32.8 || Alpha: 0.46 || Time/Update: 6.96ms || Total Steps: 8060 || Song: twinkle_twinkle_little_star
Episode: 53 || Reward: 116.58 || Actor Loss: -122.39 || Critic Loss: 2.87 || Log Prob: -32.81 || Alpha: 0.44 || Time/Update: 7.19ms || Total Steps: 8215 || Song: twinkle_twinkle_little_star
Episode: 54 || Reward: 108.98 || Actor Loss: -121.39 || Critic Loss: 2.78 || Log Prob: -32.81 || Alpha: 0.43 || Time/Update: 7.13ms || Total Steps: 8370 || Song: twinkle_twinkle_little_star
